id,left,top,right,bottom
"21278",6056011.291439,3746282.96101881,6056242.23154667,3746082.96101881
"21281",6056011.291439,3745682.96101881,6056242.23154667,3745482.96101881
"21280",6056011.291439,3745882.96101881,6056242.23154667,3745682.96101881
"21283",6056011.291439,3745282.96101881,6056242.23154667,3745082.96101881
"21282",6056011.291439,3745482.96101881,6056242.23154667,3745282.96101881
"21285",6056011.291439,3744882.96101881,6056242.23154667,3744682.96101881
"21284",6056011.291439,3745082.96101881,6056242.23154667,3744882.96101881
"21287",6056011.291439,3744482.96101881,6056242.23154667,3744282.96101881
"21286",6056011.291439,3744682.96101881,6056242.23154667,3744482.96101881
"21289",6056011.291439,3744082.96101881,6056242.23154667,3743882.96101881
"21288",6056011.291439,3744282.96101881,6056242.23154667,3744082.96101881
"21291",6056011.291439,3743682.96101881,6056242.23154667,3743482.96101881
"21290",6056011.291439,3743882.96101881,6056242.23154667,3743682.96101881
"21293",6056011.291439,3743282.96101881,6056242.23154667,3743082.96101881
"21292",6056011.291439,3743482.96101881,6056242.23154667,3743282.96101881
"21295",6056011.291439,3742882.96101881,6056242.23154667,3742682.96101881
"21294",6056011.291439,3743082.96101881,6056242.23154667,3742882.96101881
"21297",6056011.291439,3742482.96101881,6056242.23154667,3742282.96101881
"21296",6056011.291439,3742682.96101881,6056242.23154667,3742482.96101881
"21299",6056011.291439,3742082.96101881,6056242.23154667,3741882.96101881
"21298",6056011.291439,3742282.96101881,6056242.23154667,3742082.96101881
"21301",6056011.291439,3741682.96101881,6056242.23154667,3741482.96101881
"21300",6056011.291439,3741882.96101881,6056242.23154667,3741682.96101881
"21303",6056011.291439,3741282.96101881,6056242.23154667,3741082.96101881
"21302",6056011.291439,3741482.96101881,6056242.23154667,3741282.96101881
"21305",6056011.291439,3740882.96101881,6056242.23154667,3740682.96101881
"21304",6056011.291439,3741082.96101881,6056242.23154667,3740882.96101881
"21307",6056011.291439,3740482.96101881,6056242.23154667,3740282.96101881
"21306",6056011.291439,3740682.96101881,6056242.23154667,3740482.96101881
"21309",6056011.291439,3740082.96101881,6056242.23154667,3739882.96101881
"21308",6056011.291439,3740282.96101881,6056242.23154667,3740082.96101881
"21311",6056011.291439,3739682.96101881,6056242.23154667,3739482.96101881
"21310",6056011.291439,3739882.96101881,6056242.23154667,3739682.96101881
"21313",6056011.291439,3739282.96101881,6056242.23154667,3739082.96101881
"21312",6056011.291439,3739482.96101881,6056242.23154667,3739282.96101881
"21315",6056011.291439,3738882.96101881,6056242.23154667,3738682.96101881
"21314",6056011.291439,3739082.96101881,6056242.23154667,3738882.96101881
"21317",6056011.291439,3738482.96101881,6056242.23154667,3738282.96101881
"21316",6056011.291439,3738682.96101881,6056242.23154667,3738482.96101881
"21319",6056011.291439,3738082.96101881,6056242.23154667,3737882.96101881
"21318",6056011.291439,3738282.96101881,6056242.23154667,3738082.96101881
"21321",6056011.291439,3737682.96101881,6056242.23154667,3737482.96101881
"21320",6056011.291439,3737882.96101881,6056242.23154667,3737682.96101881
"21323",6056011.291439,3737282.96101881,6056242.23154667,3737082.96101881
"21322",6056011.291439,3737482.96101881,6056242.23154667,3737282.96101881
"21325",6056011.291439,3736882.96101881,6056242.23154667,3736682.96101881
"21324",6056011.291439,3737082.96101881,6056242.23154667,3736882.96101881
"21327",6056011.291439,3736482.96101881,6056242.23154667,3736282.96101881
"21326",6056011.291439,3736682.96101881,6056242.23154667,3736482.96101881
"21329",6056011.291439,3736082.96101881,6056242.23154667,3735882.96101881
"21328",6056011.291439,3736282.96101881,6056242.23154667,3736082.96101881
"21331",6056011.291439,3735682.96101881,6056242.23154667,3735482.96101881
"21330",6056011.291439,3735882.96101881,6056242.23154667,3735682.96101881
"21333",6056011.291439,3735282.96101881,6056242.23154667,3735082.96101881
"21332",6056011.291439,3735482.96101881,6056242.23154667,3735282.96101881
"21335",6056011.291439,3734882.96101881,6056242.23154667,3734682.96101881
"21334",6056011.291439,3735082.96101881,6056242.23154667,3734882.96101881
"21337",6056011.291439,3734482.96101881,6056242.23154667,3734282.96101881
"21336",6056011.291439,3734682.96101881,6056242.23154667,3734482.96101881
"21339",6056011.291439,3734082.96101881,6056242.23154667,3733882.96101881
"21338",6056011.291439,3734282.96101881,6056242.23154667,3734082.96101881
"21341",6056011.291439,3733682.96101881,6056242.23154667,3733482.96101881
"21340",6056011.291439,3733882.96101881,6056242.23154667,3733682.96101881
"21343",6056011.291439,3733282.96101881,6056242.23154667,3733082.96101881
"21342",6056011.291439,3733482.96101881,6056242.23154667,3733282.96101881
"21345",6056011.291439,3732882.96101881,6056242.23154667,3732682.96101881
"21344",6056011.291439,3733082.96101881,6056242.23154667,3732882.96101881
"13179",6047004.62723964,3743682.96101881,6047235.56734732,3743482.96101881
"13178",6047004.62723964,3743882.96101881,6047235.56734732,3743682.96101881
"13181",6047004.62723964,3743282.96101881,6047235.56734732,3743082.96101881
"13180",6047004.62723964,3743482.96101881,6047235.56734732,3743282.96101881
"13183",6047004.62723964,3742882.96101881,6047235.56734732,3742682.96101881
"13182",6047004.62723964,3743082.96101881,6047235.56734732,3742882.96101881
"13185",6047004.62723964,3742482.96101881,6047235.56734732,3742282.96101881
"13184",6047004.62723964,3742682.96101881,6047235.56734732,3742482.96101881
"13187",6047004.62723964,3742082.96101881,6047235.56734732,3741882.96101881
"13186",6047004.62723964,3742282.96101881,6047235.56734732,3742082.96101881
"13189",6047004.62723964,3741682.96101881,6047235.56734732,3741482.96101881
