name,lon,lat,code,fclass,osm_id
قلعه,54.389594394681396,31.860975461520574,2731,castle,693696132
مدرسه پسرانه قدس,54.37528683277182,31.898873635930194,2082,school,693699009
باشگاه قدس,54.38164442746373,31.90166889093125,2251,sports_centre,693701607
دانشگاه فرهنگیان یزد,54.392744799312,31.88861252482139,2081,university,722420548
دبستان دخترانه زینی,54.39344153615148,31.88776818309444,2082,school,722420552
پارک ارکیده,54.39429727688859,31.80880815876273,2204,park,722431480
,54.36320673447511,31.809090882438703,2204,park,1359901709
,54.35444879853142,31.813912694236585,2204,park,1359901709
پارک مدیران,54.3461031115639,31.84420897190942,2204,park,722437675
,54.34644667866773,31.84598728013998,2204,park,1359901709
,54.3697976602694,31.849350152675484,2204,park,1359901709
استخر بانوان,54.38977985506149,31.820563941657745,2251,sports_centre,731861958
,54.40327819172654,31.802031345297372,2204,park,1359901709
بیمارستان بهمن یزد,54.37495429081435,31.87917494721671,2110,hospital,750346134
مرکز بهداشت یزد,54.375430983697505,31.878926234602506,2111,clinic,750346531
کافه کوک,54.39051762886203,31.821387649543126,2303,cafe,786421130
مجتمع تجاری آزادی,54.369576235263324,31.882365393169113,2504,mall,788161681
,54.393010755508016,31.859195014815715,2204,park,1359901709
,54.3658432652928,31.881707167080158,2204,park,1359901709
کلینیک آبادیس,54.38371258907097,31.855621470129233,2111,clinic,906346656
قبرستان مسلمانان جوی هرهر,54.378042530400464,31.896362375300555,2015,graveyard,12493450
قبرستان کلیمیان جوی هرهر,54.378085206033475,31.895429136303253,2015,graveyard,12493451
دانکشده پزشکی و داروسازی,54.33862105834128,31.841794982834376,2084,college,13317463
,54.369404365862906,31.848613550167933,2204,park,1359901709
,54.354268743233035,31.849701259767425,2204,park,1359901709
,54.32416003873404,31.846949840163926,2204,park,1359901709
پارک حنا,54.369349576533544,31.8516008949184,2204,park,1051788954
موکب,54.36208250289353,31.874140813895004,2301,restaurant,1056118991
گالری اتومبیل کاپریس,54.38420808016761,31.851111356038174,2541,car_dealership,1057511711
,54.38956663180785,31.81881530707515,2204,park,1359901709
,54.389882966858956,31.817966183837676,2204,park,1359901709
,54.39001836296854,31.817373718014295,2204,park,1359901709
,54.39085263106299,31.81780057783746,2204,park,1359901709
فروشگاه مجتمع مسکونی فرهنگ ۱,54.36302176058351,31.82141200711354,2501,supermarket,1073292591
راهنمایی دخترانه شاهد - افشار,54.357221098947626,31.85945899856415,2082,school,1097561850
دبیرستان پسرانه شاهد,54.35837204917007,31.86051081265527,2082,school,1097561851
دبیرستان نمونه دولتی شهید مجید مرشد,54.36202964065925,31.860001643953407,2082,school,1097561853
سالن ورزشی شهدای نعیم آباد,54.36329845111653,31.85901245890034,2251,sports_centre,1097561854
دانشگاه علم و هنر,54.362406589906016,31.858117080643456,2081,university,1097561855
اقامتگاه بوم گردی خانه خشتی,54.37074046521932,31.89614854377427,2404,guesthouse,14654502
اقامتگاه بوم گردی خانه سیگاری,54.37178175571277,31.896062572824764,2404,guesthouse,1100869253
,54.32958428187502,31.85233099095379,2204,park,1359901709
,54.32941198066688,31.854773293466216,2204,park,1359901709
رستوران شهر غذا,54.399239981304426,31.872330549018397,2301,restaurant,1117682431
,54.38322980431626,31.83003178484134,2204,park,1359901709
,54.32877719879138,31.858554711988297,2204,park,1359901709
,54.3952657166592,31.833504100100292,2204,park,1359901709
بوستان مازاری,54.387979911920944,31.894557499268707,2204,park,1179694822
صحن دانشجو,54.356945905426755,31.833355214553624,2081,university,1202735887
رستوران شاندیز یزد,54.38181903148505,31.856694046943222,2301,restaurant,1210974637
بلوک فردوس,54.397146812754556,31.926991943532787,2015,graveyard,1229215331
,54.396105809745414,31.92829887202649,2204,park,1359901709
,54.390175530841375,31.927699701745745,2204,park,1359901709
,54.390955509967284,31.92811763697585,2204,park,1359901709
,54.37266272217192,31.850358115982978,2204,park,1359901709
,54.37313872633536,31.8505538668828,2204,park,1359901709
,54.37156499730354,31.85062517673568,2204,park,1359901709
بوستان باد و سایه,54.37367231614743,31.804697754726377,2204,park,1239337585
ایستگاه 12 آتش نشانی,54.364881240147696,31.81034239259283,2002,fire_station,1239352503
,54.368445570602525,31.81129916138249,2204,park,1359901709
,54.3483721084034,31.85050737805541,2204,park,1359901709
هایپر راه و ما,54.37671737085473,31.827031130559703,2511,convenience,1243988915
